ID_ORIGEN,NOMBRE_ORIGEN,ID_DESTINO,NOMBRE_DESTINO,CONTEO
7,PAMPALINDA,2,BUITRERA,171
7,PAMPALINDA,3,MELENDEZ,184
7,PAMPALINDA,4,CAPRI,130
7,PAMPALINDA,5,CALDAS,60
7,PAMPALINDA,6,REFUGIO,68
7,PAMPALINDA,7,PAMPALINDA,421
7,PAMPALINDA,8,PLZ TOROS,14
7,PAMPALINDA,9,LIDO,50
7,PAMPALINDA,10,TEQUENDAMA,173
7,PAMPALINDA,11,ESTADIO,171
7,PAMPALINDA,12,MZ. SABER,85
7,PAMPALINDA,13,ST LIBRADA,100
7,PAMPALINDA,14,SAN BOSCO,97
7,PAMPALINDA,15,SAN PASCUA,23
7,PAMPALINDA,23,SUCRE,0
7,PAMPALINDA,24,PETECUY,38
7,PAMPALINDA,25,SAN PEDRO,86
7,PAMPALINDA,26,T. CALI,68
7,PAMPALINDA,27,FRAY DAMIAN,4
7,PAMPALINDA,28,CENTRO,90
7,PAMPALINDA,29,ERMITA,93
7,PAMPALINDA,30,RIO CALI,4
7,PAMPALINDA,31,SAN NICOLA,1
7,PAMPALINDA,32,PILOTO,4
7,PAMPALINDA,33,FATIMA,11
7,PAMPALINDA,34,MANZANARES,17
7,PAMPALINDA,35,POPULAR,60
7,PAMPALINDA,36,SALOMIA,107
7,PAMPALINDA,37,FLORA IND,169
7,PAMPALINDA,38,CHIMINANGOS,353
7,PAMPALINDA,39,UNIVERSIDA,466
7,PAMPALINDA,40,UND DEPORT,100
7,PAMPALINDA,42,CAICEDO,84
7,PAMPALINDA,43,VERSALLES,49
7,PAMPALINDA,44,AMERICAS,96
7,PAMPALINDA,45,PRADOS,37
7,PAMPALINDA,46,VIPASA,33
7,PAMPALINDA,47,ALAMOS,109
7,PAMPALINDA,56,TERMINAL MENGA,93
8,PLZ TOROS,1,UNIVALLE,10
8,PLZ TOROS,2,BUITRERA,37
8,PLZ TOROS,3,MELENDEZ,56
8,PLZ TOROS,4,CAPRI,31
8,PLZ TOROS,5,CALDAS,22
8,PLZ TOROS,6,REFUGIO,17
8,PLZ TOROS,7,PAMPALINDA,19
8,PLZ TOROS,8,PLZ TOROS,76
8,PLZ TOROS,9,LIDO,11
8,PLZ TOROS,10,TEQUENDAMA,56
8,PLZ TOROS,11,ESTADIO,48
8,PLZ TOROS,12,MZ. SABER,33
8,PLZ TOROS,13,ST LIBRADA,24
8,PLZ TOROS,14,SAN BOSCO,27
8,PLZ TOROS,15,SAN PASCUA,6
8,PLZ TOROS,23,SUCRE,1
8,PLZ TOROS,24,PETECUY,7
8,PLZ TOROS,25,SAN PEDRO,19
8,PLZ TOROS,26,T. CALI,27
8,PLZ TOROS,27,FRAY DAMIAN,1
8,PLZ TOROS,28,CENTRO,32
8,PLZ TOROS,29,ERMITA,43
8,PLZ TOROS,30,RIO CALI,2
8,PLZ TOROS,31,SAN NICOLA,0
8,PLZ TOROS,32,PILOTO,2
8,PLZ TOROS,33,FATIMA,4
8,PLZ TOROS,34,MANZANARES,5
8,PLZ TOROS,35,POPULAR,6
8,PLZ TOROS,36,SALOMIA,10
8,PLZ TOROS,37,FLORA IND,19
8,PLZ TOROS,38,CHIMINANGOS,43
8,PLZ TOROS,39,UNIVERSIDA,73
8,PLZ TOROS,40,UND DEPORT,16
8,PLZ TOROS,42,CAICEDO,18
8,PLZ TOROS,43,VERSALLES,8
8,PLZ TOROS,44,AMERICAS,15
8,PLZ TOROS,45,PRADOS,3
8,PLZ TOROS,46,VIPASA,3
8,PLZ TOROS,47,ALAMOS,11
8,PLZ TOROS,56,TERMINAL MENGA,12
9,LIDO,1,UNIVALLE,24
9,LIDO,2,BUITRERA,73
9,LIDO,3,MELENDEZ,84
9,LIDO,4,CAPRI,68
9,LIDO,5,CALDAS,45
9,LIDO,6,REFUGIO,45
9,LIDO,7,PAMPALINDA,53
9,LIDO,8,PLZ TOROS,10
9,LIDO,9,LIDO,133
9,LIDO,10,TEQUENDAMA,26
9,LIDO,11,ESTADIO,54
9,LIDO,12,MZ. SABER,59
9,LIDO,13,ST LIBRADA,45
