ID_ORIGEN,NOMBRE_ORIGEN,ID_DESTINO,NOMBRE_DESTINO,CONTEO
7,PAMPALINDA,2,BUITRERA,25
7,PAMPALINDA,3,MELENDEZ,48
7,PAMPALINDA,4,CAPRI,20
7,PAMPALINDA,5,CALDAS,8
7,PAMPALINDA,6,REFUGIO,8
7,PAMPALINDA,7,PAMPALINDA,74
7,PAMPALINDA,8,PLZ TOROS,4
7,PAMPALINDA,9,LIDO,8
7,PAMPALINDA,10,TEQUENDAMA,32
7,PAMPALINDA,11,ESTADIO,38
7,PAMPALINDA,12,MZ. SABER,10
7,PAMPALINDA,13,ST LIBRADA,19
7,PAMPALINDA,14,SAN BOSCO,17
7,PAMPALINDA,15,SAN PASCUA,4
7,PAMPALINDA,23,SUCRE,0
7,PAMPALINDA,24,PETECUY,1
7,PAMPALINDA,25,SAN PEDRO,12
7,PAMPALINDA,26,T. CALI,9
7,PAMPALINDA,27,FRAY DAMIAN,1
7,PAMPALINDA,28,CENTRO,7
7,PAMPALINDA,29,ERMITA,9
7,PAMPALINDA,30,RIO CALI,0
7,PAMPALINDA,31,SAN NICOLA,0
7,PAMPALINDA,32,PILOTO,0
7,PAMPALINDA,33,FATIMA,4
7,PAMPALINDA,34,MANZANARES,3
7,PAMPALINDA,35,POPULAR,15
7,PAMPALINDA,36,SALOMIA,26
7,PAMPALINDA,37,FLORA IND,44
7,PAMPALINDA,38,CHIMINANGOS,94
7,PAMPALINDA,39,UNIVERSIDA,72
7,PAMPALINDA,40,UND DEPORT,8
7,PAMPALINDA,42,CAICEDO,3
7,PAMPALINDA,43,VERSALLES,5
7,PAMPALINDA,44,AMERICAS,12
7,PAMPALINDA,45,PRADOS,4
7,PAMPALINDA,46,VIPASA,4
7,PAMPALINDA,47,ALAMOS,27
7,PAMPALINDA,56,TERMINAL MENGA,24
8,PLZ TOROS,1,UNIVALLE,1
8,PLZ TOROS,2,BUITRERA,6
8,PLZ TOROS,3,MELENDEZ,15
8,PLZ TOROS,4,CAPRI,5
8,PLZ TOROS,5,CALDAS,3
8,PLZ TOROS,6,REFUGIO,4
8,PLZ TOROS,7,PAMPALINDA,4
8,PLZ TOROS,8,PLZ TOROS,8
8,PLZ TOROS,9,LIDO,4
8,PLZ TOROS,10,TEQUENDAMA,5
8,PLZ TOROS,11,ESTADIO,6
8,PLZ TOROS,12,MZ. SABER,8
8,PLZ TOROS,13,ST LIBRADA,7
8,PLZ TOROS,14,SAN BOSCO,6
8,PLZ TOROS,15,SAN PASCUA,1
8,PLZ TOROS,23,SUCRE,0
8,PLZ TOROS,24,PETECUY,0
8,PLZ TOROS,25,SAN PEDRO,3
8,PLZ TOROS,26,T. CALI,1
8,PLZ TOROS,27,FRAY DAMIAN,0
8,PLZ TOROS,28,CENTRO,2
8,PLZ TOROS,29,ERMITA,4
8,PLZ TOROS,30,RIO CALI,0
8,PLZ TOROS,31,SAN NICOLA,0
8,PLZ TOROS,32,PILOTO,0
8,PLZ TOROS,33,FATIMA,1
8,PLZ TOROS,34,MANZANARES,1
8,PLZ TOROS,35,POPULAR,0
8,PLZ TOROS,36,SALOMIA,4
8,PLZ TOROS,37,FLORA IND,4
8,PLZ TOROS,38,CHIMINANGOS,15
8,PLZ TOROS,39,UNIVERSIDA,11
8,PLZ TOROS,40,UND DEPORT,4
8,PLZ TOROS,42,CAICEDO,0
8,PLZ TOROS,43,VERSALLES,3
8,PLZ TOROS,44,AMERICAS,0
8,PLZ TOROS,45,PRADOS,0
8,PLZ TOROS,46,VIPASA,0
8,PLZ TOROS,47,ALAMOS,1
8,PLZ TOROS,56,TERMINAL MENGA,4
9,LIDO,1,UNIVALLE,4
9,LIDO,2,BUITRERA,11
9,LIDO,3,MELENDEZ,12
9,LIDO,4,CAPRI,13
9,LIDO,5,CALDAS,9
9,LIDO,6,REFUGIO,6
9,LIDO,7,PAMPALINDA,19
9,LIDO,8,PLZ TOROS,1
9,LIDO,9,LIDO,26
9,LIDO,10,TEQUENDAMA,6
9,LIDO,11,ESTADIO,9
9,LIDO,12,MZ. SABER,14
9,LIDO,13,ST LIBRADA,4
9,LIDO,14,SAN BOSCO,10
9,LIDO,15,SAN PASCUA,3
9,LIDO,23,SUCRE,0
9,LIDO,24,PETECUY,0
9,LIDO,25,SAN PEDRO,7
9,LIDO,26,T. CALI,3
9,LIDO,27,FRAY DAMIAN,0
9,LIDO,28,CENTRO,3
9,LIDO,29,ERMITA,13
9,LIDO,30,RIO CALI,0
9,LIDO,31,SAN NICOLA,0
9,LIDO,32,PILOTO,0
9,LIDO,33,FATIMA,0
9,LIDO,34,MANZANARES,2
9,LIDO,35,POPULAR,2
9,LIDO,36,SALOMIA,5
9,LIDO,37,FLORA IND,9
9,LIDO,38,CHIMINANGOS,28
9,LIDO,39,UNIVERSIDA,28
9,LIDO,40,UND DEPORT,4
9,LIDO,42,CAICEDO,1
9,LIDO,43,VERSALLES,5
9,LIDO,44,AMERICAS,12
9,LIDO,45,PRADOS,2
9,LIDO,46,VIPASA,0
9,LIDO,47,ALAMOS,11
9,LIDO,56,TERMINAL MENGA,7
10,TEQUENDAMA,1,UNIVALLE,4
10,TEQUENDAMA,2,BUITRERA,31
10,TEQUENDAMA,3,MELENDEZ,73
10,TEQUENDAMA,4,CAPRI,29
10,TEQUENDAMA,5,CALDAS,33
10,TEQUENDAMA,6,REFUGIO,33
10,TEQUENDAMA,7,PAMPALINDA,44
10,TEQUENDAMA,8,PLZ TOROS,10
10,TEQUENDAMA,9,LIDO,9
10,TEQUENDAMA,10,TEQUENDAMA,108
10,TEQUENDAMA,11,ESTADIO,14
10,TEQUENDAMA,12,MZ. SABER,26
10,TEQUENDAMA,13,ST LIBRADA,30
10,TEQUENDAMA,14,SAN BOSCO,37
10,TEQUENDAMA,15,SAN PASCUA,14
10,TEQUENDAMA,23,SUCRE,1
10,TEQUENDAMA,24,PETECUY,8
10,TEQUENDAMA,25,SAN PEDRO,10
10,TEQUENDAMA,26,T. CALI,15
10,TEQUENDAMA,27,FRAY DAMIAN,1
10,TEQUENDAMA,28,CENTRO,16
10,TEQUENDAMA,29,ERMITA,26
10,TEQUENDAMA,30,RIO CALI,3
10,TEQUENDAMA,31,SAN NICOLA,0
10,TEQUENDAMA,32,PILOTO,2
10,TEQUENDAMA,33,FATIMA,10
10,TEQUENDAMA,34,MANZANARES,9
10,TEQUENDAMA,35,POPULAR,20
10,TEQUENDAMA,36,SALOMIA,47
10,TEQUENDAMA,37,FLORA IND,62
10,TEQUENDAMA,38,CHIMINANGOS,160
10,TEQUENDAMA,39,UNIVERSIDA,128
10,TEQUENDAMA,40,UND DEPORT,22
10,TEQUENDAMA,42,CAICEDO,13
10,TEQUENDAMA,43,VERSALLES,9
10,TEQUENDAMA,44,AMERICAS,35
10,TEQUENDAMA,45,PRADOS,11
10,TEQUENDAMA,46,VIPASA,6
10,TEQUENDAMA,47,ALAMOS,37
10,TEQUENDAMA,56,TERMINAL MENGA,25
11,ESTADIO,1,UNIVALLE,13
11,ESTADIO,2,BUITRERA,46
11,ESTADIO,3,MELENDEZ,78
11,ESTADIO,4,CAPRI,23
11,ESTADIO,5,CALDAS,34
11,ESTADIO,6,REFUGIO,25
11,ESTADIO,7,PAMPALINDA,29
11,ESTADIO,8,PLZ TOROS,10
11,ESTADIO,9,LIDO,11
11,ESTADIO,10,TEQUENDAMA,15
11,ESTADIO,11,ESTADIO,65
11,ESTADIO,12,MZ. SABER,3
11,ESTADIO,13,ST LIBRADA,24
11,ESTADIO,14,SAN BOSCO,15
11,ESTADIO,15,SAN PASCUA,10
11,ESTADIO,23,SUCRE,2
11,ESTADIO,24,PETECUY,3
11,ESTADIO,25,SAN PEDRO,10
11,ESTADIO,26,T. CALI,10
11,ESTADIO,27,FRAY DAMIAN,2
11,ESTADIO,28,CENTRO,5
11,ESTADIO,29,ERMITA,12
11,ESTADIO,30,RIO CALI,0
11,ESTADIO,31,SAN NICOLA,0
11,ESTADIO,32,PILOTO,1
11,ESTADIO,33,FATIMA,7
11,ESTADIO,34,MANZANARES,7
11,ESTADIO,35,POPULAR,14
11,ESTADIO,36,SALOMIA,33
11,ESTADIO,37,FLORA IND,59
11,ESTADIO,38,CHIMINANGOS,118
11,ESTADIO,39,UNIVERSIDA,131
11,ESTADIO,40,UND DEPORT,22
11,ESTADIO,42,CAICEDO,9
11,ESTADIO,43,VERSALLES,7
11,ESTADIO,44,AMERICAS,24
11,ESTADIO,45,PRADOS,11
11,ESTADIO,46,VIPASA,10
11,ESTADIO,47,ALAMOS,34
11,ESTADIO,56,TERMINAL MENGA,27
12,MZ. SABER,1,UNIVALLE,5
12,MZ. SABER,2,BUITRERA,12
12,MZ. SABER,3,MELENDEZ,27
12,MZ. SABER,4,CAPRI,19
12,MZ. SABER,5,CALDAS,21
12,MZ. SABER,6,REFUGIO,11
12,MZ. SABER,7,PAMPALINDA,18
12,MZ. SABER,8,PLZ TOROS,5
12,MZ. SABER,9,LIDO,3
12,MZ. SABER,10,TEQUENDAMA,26
12,MZ. SABER,11,ESTADIO,5
12,MZ. SABER,12,MZ. SABER,42
12,MZ. SABER,13,ST LIBRADA,13
12,MZ. SABER,14,SAN BOSCO,13
12,MZ. SABER,15,SAN PASCUA,8
12,MZ. SABER,23,SUCRE,1
12,MZ. SABER,24,PETECUY,9
12,MZ. SABER,25,SAN PEDRO,4
12,MZ. SABER,26,T. CALI,5
12,MZ. SABER,27,FRAY DAMIAN,1
12,MZ. SABER,28,CENTRO,16
12,MZ. SABER,29,ERMITA,5
12,MZ. SABER,30,RIO CALI,1
12,MZ. SABER,31,SAN NICOLA,1
12,MZ. SABER,32,PILOTO,0
12,MZ. SABER,33,FATIMA,6
12,MZ. SABER,34,MANZANARES,2
12,MZ. SABER,35,POPULAR,13
12,MZ. SABER,36,SALOMIA,13
12,MZ. SABER,37,FLORA IND,27
12,MZ. SABER,38,CHIMINANGOS,76
12,MZ. SABER,39,UNIVERSIDA,48
12,MZ. SABER,40,UND DEPORT,16
12,MZ. SABER,42,CAICEDO,3
12,MZ. SABER,43,VERSALLES,5
12,MZ. SABER,44,AMERICAS,19
12,MZ. SABER,45,PRADOS,4
12,MZ. SABER,46,VIPASA,9
12,MZ. SABER,47,ALAMOS,7
12,MZ. SABER,56,TERMINAL MENGA,7
13,ST LIBRADA,1,UNIVALLE,6
13,ST LIBRADA,2,BUITRERA,12
13,ST LIBRADA,3,MELENDEZ,57
13,ST LIBRADA,4,CAPRI,6
13,ST LIBRADA,5,CALDAS,15
13,ST LIBRADA,6,REFUGIO,7
13,ST LIBRADA,7,PAMPALINDA,16
13,ST LIBRADA,8,PLZ TOROS,5
13,ST LIBRADA,9,LIDO,6
13,ST LIBRADA,10,TEQUENDAMA,19
13,ST LIBRADA,11,ESTADIO,12
13,ST LIBRADA,12,MZ. SABER,9
13,ST LIBRADA,13,ST LIBRADA,72
13,ST LIBRADA,14,SAN BOSCO,3
13,ST LIBRADA,15,SAN PASCUA,4
13,ST LIBRADA,23,SUCRE,0
13,ST LIBRADA,24,PETECUY,4
13,ST LIBRADA,25,SAN PEDRO,4
13,ST LIBRADA,26,T. CALI,5
13,ST LIBRADA,27,FRAY DAMIAN,0
13,ST LIBRADA,28,CENTRO,6
13,ST LIBRADA,29,ERMITA,4
13,ST LIBRADA,30,RIO CALI,1
13,ST LIBRADA,31,SAN NICOLA,0
13,ST LIBRADA,32,PILOTO,0
13,ST LIBRADA,33,FATIMA,2
13,ST LIBRADA,34,MANZANARES,1
13,ST LIBRADA,35,POPULAR,6
13,ST LIBRADA,36,SALOMIA,15
13,ST LIBRADA,37,FLORA IND,29
13,ST LIBRADA,38,CHIMINANGOS,44
13,ST LIBRADA,39,UNIVERSIDA,44
13,ST LIBRADA,40,UND DEPORT,12
13,ST LIBRADA,42,CAICEDO,1
13,ST LIBRADA,43,VERSALLES,5
13,ST LIBRADA,44,AMERICAS,13
13,ST LIBRADA,45,PRADOS,3
13,ST LIBRADA,46,VIPASA,4
13,ST LIBRADA,47,ALAMOS,8
13,ST LIBRADA,56,TERMINAL MENGA,9
14,SAN BOSCO,1,UNIVALLE,1
14,SAN BOSCO,2,BUITRERA,14
14,SAN BOSCO,3,MELENDEZ,64
14,SAN BOSCO,4,CAPRI,17
14,SAN BOSCO,5,CALDAS,18
14,SAN BOSCO,6,REFUGIO,12
14,SAN BOSCO,7,PAMPALINDA,15
14,SAN BOSCO,8,PLZ TOROS,7
14,SAN BOSCO,9,LIDO,5
14,SAN BOSCO,10,TEQUENDAMA,24
14,SAN BOSCO,11,ESTADIO,20
14,SAN BOSCO,12,MZ. SABER,14
14,SAN BOSCO,13,ST LIBRADA,5
14,SAN BOSCO,14,SAN BOSCO,48
14,SAN BOSCO,15,SAN PASCUA,7
14,SAN BOSCO,23,SUCRE,0
14,SAN BOSCO,24,PETECUY,1
14,SAN BOSCO,25,SAN PEDRO,5
14,SAN BOSCO,26,T. CALI,4
14,SAN BOSCO,27,FRAY DAMIAN,1
14,SAN BOSCO,28,CENTRO,2
14,SAN BOSCO,29,ERMITA,3
14,SAN BOSCO,30,RIO CALI,0
14,SAN BOSCO,31,SAN NICOLA,1
14,SAN BOSCO,32,PILOTO,0
14,SAN BOSCO,33,FATIMA,1
14,SAN BOSCO,34,MANZANARES,3
14,SAN BOSCO,35,POPULAR,8
14,SAN BOSCO,36,SALOMIA,7
14,SAN BOSCO,37,FLORA IND,19
14,SAN BOSCO,38,CHIMINANGOS,38
14,SAN BOSCO,39,UNIVERSIDA,56
14,SAN BOSCO,40,UND DEPORT,10
14,SAN BOSCO,42,CAICEDO,0
14,SAN BOSCO,43,VERSALLES,1
14,SAN BOSCO,44,AMERICAS,15
14,SAN BOSCO,45,PRADOS,4
14,SAN BOSCO,46,VIPASA,2
14,SAN BOSCO,47,ALAMOS,6
14,SAN BOSCO,56,TERMINAL MENGA,13
15,SAN PASCUA,1,UNIVALLE,2
15,SAN PASCUA,2,BUITRERA,4
15,SAN PASCUA,3,MELENDEZ,12
15,SAN PASCUA,4,CAPRI,4
15,SAN PASCUA,5,CALDAS,6
15,SAN PASCUA,6,REFUGIO,7
15,SAN PASCUA,7,PAMPALINDA,3
15,SAN PASCUA,8,PLZ TOROS,2
15,SAN PASCUA,9,LIDO,2
15,SAN PASCUA,10,TEQUENDAMA,6
15,SAN PASCUA,11,ESTADIO,5
15,SAN PASCUA,12,MZ. SABER,10
15,SAN PASCUA,13,ST LIBRADA,7
15,SAN PASCUA,14,SAN BOSCO,3
15,SAN PASCUA,15,SAN PASCUA,25
15,SAN PASCUA,23,SUCRE,2
15,SAN PASCUA,24,PETECUY,0
15,SAN PASCUA,25,SAN PEDRO,4
15,SAN PASCUA,26,T. CALI,4
15,SAN PASCUA,27,FRAY DAMIAN,0
15,SAN PASCUA,28,CENTRO,0
15,SAN PASCUA,29,ERMITA,4
15,SAN PASCUA,30,RIO CALI,2
15,SAN PASCUA,31,SAN NICOLA,0
15,SAN PASCUA,32,PILOTO,0
15,SAN PASCUA,33,FATIMA,2
15,SAN PASCUA,34,MANZANARES,1
15,SAN PASCUA,35,POPULAR,2
15,SAN PASCUA,36,SALOMIA,6
15,SAN PASCUA,37,FLORA IND,7
15,SAN PASCUA,38,CHIMINANGOS,24
15,SAN PASCUA,39,UNIVERSIDA,12
15,SAN PASCUA,40,UND DEPORT,13
15,SAN PASCUA,42,CAICEDO,2
15,SAN PASCUA,43,VERSALLES,3
15,SAN PASCUA,44,AMERICAS,2
15,SAN PASCUA,45,PRADOS,3
15,SAN PASCUA,46,VIPASA,1
15,SAN PASCUA,47,ALAMOS,6
15,SAN PASCUA,56,TERMINAL MENGA,4
23,SUCRE,1,UNIVALLE,0
23,SUCRE,2,BUITRERA,0
23,SUCRE,3,MELENDEZ,0
23,SUCRE,4,CAPRI,1
23,SUCRE,5,CALDAS,0
23,SUCRE,6,REFUGIO,0
23,SUCRE,7,PAMPALINDA,0
23,SUCRE,8,PLZ TOROS,1
23,SUCRE,9,LIDO,0
23,SUCRE,10,TEQUENDAMA,7
23,SUCRE,11,ESTADIO,0
23,SUCRE,12,MZ. SABER,1
23,SUCRE,13,ST LIBRADA,0
23,SUCRE,14,SAN BOSCO,0
23,SUCRE,15,SAN PASCUA,0
