STOPID,SHORTNAME,LONGNAME,LONGITUDE,LATITUDE
502500,VIPASA1,Vipasa A1,-76.51705833,3.47859500
502501,VIPASA2,Vipasa B1,-76.51688667,3.47875333
502550,ALAMOS1,Alamos A1,-76.51338667,3.48446000
502551,ALAMOS2,Alamos B1,-76.51325000,3.48468833
502600,N.LATIR2,Nuevo Latir B1,-76.48674361,3.41832444
502601,N.LATIR1,Nuevo Latir A1,-76.48684028,3.41847861
502650,AMANECE2,Amanecer B1,-76.49077639,3.42143972
502651,AMANECE1,Amanecer A1,-76.49088111,3.42158306
502700,TRONCAL2,Troncal Unida B1,-76.49453278,3.42472889
502701,TRONCAL1,Troncal Unida A1,-76.49461639,3.42487694
502750,CONQUIS2,Conquistadores B1,-76.50525667,3.42697944
502751,CONQUIS1,Conquistadores A1,-76.50530861,3.42710556
502800,VLNUEVA2,Villa Nueva B1,-76.51014417,3.43207500
502801,VLNUEVA1,Villa Nueva A1,-76.51023500,3.43216278
502850,ST.MONI2,Santa Monica B1,-76.51391583,3.43453194
502851,ST.MONI1,Santa Monica A1,-76.51394694,3.43459889
502900,PRIMITI2,Primitivo B1,-76.51854444,3.43795583
502901,PRIMITI1,Primitivo A1,-76.51861611,3.43804167
502950,C.PALOS2,Cien Palos B1,-76.52276389,3.43973667
502951,C.PALOS1,Cien Palos A1,-76.52284722,3.43977972
511005,C13K100,Cl 13 con Kr 100,-76.53716750,3.37356972
511006,C13K89,Cl 13 entre Kr 89 y 100,-76.53746056,3.37470444
511008,C13K87,Cl 13 entre Kr 87 y 89,-76.53765833,3.37826583
511011,C13K86,Cl 13 con Kr 86,-76.53763667,3.38024500
511012,C13K831,Cl 13 con Kr 83 y 85,-76.53820500,3.38231333
511016,C25K101,Cl 25 entre Kr 101 y 102,-76.52444500,3.36230833
511018,K98C25,Kr 98 entre Cl 25 y 28,-76.52304972,3.37073222
511019,C42K84,Cl 42 entre Kr 84 y 85,-76.52044861,3.38308583
511020,C25UAUT,Cl 25 entre Kr 114A y 118,-76.52350167,3.35325056
511021,C25UAUT2,Cl 25 entre Kr 117 y 114A,-76.52330611,3.35317500
511031,K127C18A,Kr 127 entre Cl 18A y 18,-76.53205750,3.33343611
511033,C25K99,Cl 25 entre Kr 99 y 98B,-76.52471611,3.36881306
511034,K99C25,Kr 99 entre Cl 25 y 30 La 14 del Lili,-76.52330722,3.36731444
511035,K122C151,Kr 122 entre Cl 16 y 15,-76.53685361,3.34280778
511036,K122C152,Kr 122 entre Cl 15 y 16,-76.53657528,3.34269722
511037,K122C121,Kr 122 entre Cl 13 y 12,-76.54065833,3.34262500
511038,K122C122,Kr 122 entre Cl 12 y 13,-76.54116333,3.34233389
511039,K122C61,Kr 122 entre Cl 12 y 6,-76.54412444,3.34254694
511040,K122C62,San Buenaventura2,-76.54347417,3.34218500
511043,K118C241,Kr 118 entre Cl 25 y 22,-76.52514583,3.35090194
511044,K118C201,Kr 118 entre Cl 20 y 18,-76.52909917,3.35071222
511045,K122C17A,Kr 122 entre Cl 17A y 16,-76.53284028,3.34306806
511046,C18CARU1,Cl 18 entre Kr 122 y 121,-76.53080889,3.34381083
511048,VBUITREY,Via a la Buitrera La Y,-76.55778056,3.36360639
511049,VBUIRAPI,Via a la Buitrera Rapitienda La Buitrera,-76.56288056,3.36476806
511050,VBUIDIAN,Via a la Buitrera Colegio Diana Oese,-76.56442000,3.36597333
511051,VBUIFERR,Via a la Buitrera Ferretería el Portento,-76.56240472,3.36868833
511052,VBUIGIRA,Via a la Buitrera Girasoles Web Café,-76.56418944,3.37193000
511053,VBUIPIED,Via a la Buitrera Sector Las Piedras Km ,-76.56514778,3.37617972
511054,VBUIPIE2,Via a la Buitrera Las Piedras,-76.56512417,3.37608917
511056,VBUIMACO,Via a la Buitrera Callejon Macondo,-76.57173222,3.38268028
511059,VBUITIEN,Via a la Buitrera Tienda Inicio de ruta,-76.57814111,3.38284583
511061,VBUIFINC,Via a la Buitrera Finca Santa Ana,-76.57151833,3.38244000
511062,VBUIGOLD,Via a la Buitrera Golden Net,-76.56833750,3.37902389
511064,VBUISECT,Via a la Buitrera Sector Girasoles,-76.56434722,3.37218528
511066,VBUIFER,Via a la Buitrera Ferreteria La Buitrera,-76.56459306,3.36655778
511067,VBUICOLE,Via a la Buitrera Colegio,-76.56304583,3.36484611
511068,VBUIY2,Via a la Buitrera Y,-76.55795083,3.36362722
511069,C13K101A,Cl 13 entre Kr 101A y 102,-76.53731222,3.36850944
511070,VBUIPINO,Via a la Buitrera Los Pinos,-76.55503417,3.36322861
511071,VBUILOSP,Via a la Buitrera Los Pinos,-76.55521972,3.36320528
511072,C4OK94P,Cl 4 Oe con Kr 94,-76.55960083,3.37605500
511073,VBUISENA,Vía a la  Buitrera SENA-1,-76.55981000,3.36410028
511074,VBUISEN2,Vía a la  Buitrera SENA,-76.56004056,3.36403861
511075,VBUICO,Vía a la Buitrera Colacteos,-76.56199917,3.36627472
511076,VBUICOLA,Vía a la Buitrera Colacteos,-76.56206250,3.36622639
511077,VBUIDUQU,Vía a la Buitrera Duquelandia,-76.56711583,3.37653139
511078,VBUIPANA,Vía a la Buitrera Panaderia Nueva Vida,-76.56841222,3.37962361
511079,VBUILAJA,Vía a la Buitrera Colegio Las Lajas,-76.56916861,3.38156028
511080,VBUICAPR,Vía a la Buitrera Capricho Km 6,-76.57501833,3.38253028
511081,VBUIK7,Vía a la Buitrera Km 7,-76.57808167,3.38291500
511082,VBUIBAJA,Vía a la Buitrera Colegio Las Lajas Baja,-76.56931889,3.38157472
511083,VBUIFATI,Vía a la Buitrera Fatima,-76.56668000,3.37679389
511084,VBUISPOR,Vía a la Buitrera Sector El Portento,-76.56233861,3.36848889
511085,V_CASC10,Vía Principal Cascajal,-76.51654361,3.31792444
511086,C18K1413,Cl 18 con Kr 141,-76.53514556,3.32198417
511087,C18K1414,Cl 18 con Kr 141,-76.53492556,3.32192889
511089,C42K83A,Cl 42 entre Kr 83B y 83A,-76.52016361,3.38495833
511090,C42K81A,Cl 42 entre Kr 81A y 81 Lote,-76.51997222,3.38748028
511093,C48K82,Cl 48 entre Kr 82 y 83Bis,-76.51632722,3.38595806
511094,C48K83C,Cl 48 entre Kr 83C y 83E,-76.51631500,3.38304361
511095,C48K85,Cl 48 entre Kr 85 y 86,-76.51630639,3.37987889
511098,C42K85E,Cl 42 entre Kr 85E y 85D,-76.52028861,3.38020361
511099,C42K83E,Cl 42 entre Kr 84 y 83E,-76.52026611,3.38245417
511100,K99C45,Kr 99 entre Cl 45 y 42,-76.52032750,3.36846833
511102,C14K85B,Cl 14 entre Kr 85B y 85A,-76.53311028,3.38159278
511103,C14K84,Cl 14 entre Kr 84 y 83C,-76.53315917,3.38394306
511104,C14K832,Cl 14 entre Kr 83 y 84,-76.53335806,3.38394417
511105,C14K85A1,Cl 14 entre Kr 85A y 85B,-76.53329167,3.38151222
511106,K80C48,Kr 80 entre Cl 45 y 48,-76.51791222,3.38841056
511109,C16K75A,Cl 16 entre Kr 75A y 73,-76.52822000,3.38941361
511110,HORMI2,Hormigero2,-76.52133167,3.34123333
511111,HORMI1,Hormiguero1,-76.52366667,3.34338000
511112,VIA_PUER,Via_puerto_tejada,-76.49794972,3.32170222
511113,COL_FRAY,Cali_puerto-col-fray damian,-76.49527833,3.31986833
