ID,LINEA,SENTIDO,PUNTO_INI,INI_LONGITUDE,INI_LATITUDE,PUNTO_FIN,FIN_LONGITUDE,FIN_LATITUDE,CONCAT_SHT,LENGTH
2180,A42A,Ida,T103D26P,-76.47764667,3.42476667,T103D261,-76.47796694,3.42285083,T103D26P-T103D261,248
2181,A42A,Ida,T103D261,-76.47796694,3.42285083,T103D263,-76.47836472,3.42066556,T103D261-T103D263,262
2182,A42A,Ida,T103D263,-76.47836472,3.42066556,K27C96,-76.47932,3.41874028,T103D263-K27C96,337
2183,A42A,Ida,K27C96,-76.47932,3.41874028,K27C91,-76.48107861,3.42041889,K27C96-K27C91,270
2184,A42A,Ida,K27C91,-76.48107861,3.42041889,K27C81,-76.48285,3.42230667,K27C91-K27C81,285
2185,A42A,Ida,K27C81,-76.48285,3.42230667,C73K27,-76.48498667,3.42468333,K27C81-C73K27,386
2186,A42A,Ida,C73K27,-76.48498667,3.42468333,C73D26M,-76.48442778,3.42616611,C73K27-C73D26M,176
2187,A42A,Ida,C73D26M,-76.48442778,3.42616611,C73K26M,-76.48467611,3.42679972,C73D26M-C73K26M,768
2188,A42A,Ida,C73K26M,-76.48467611,3.42679972,C72YK27A,-76.48610861,3.42337333,C73K26M-C72YK27A,333
2189,A42A,Ida,C72YK27A,-76.48610861,3.42337333,C79K28D,-76.48648528,3.420075,C72YK27A-C79K28D,369
2190,A42A,Ida,C79K28D,-76.48648528,3.420075,AMANECE1,-76.49088111,3.42158306,C79K28D-AMANECE1,769
2191,A42A,Ida,AMANECE1,-76.49088111,3.42158306,TRONCAL1,-76.49461639,3.42487694,AMANECE1-TRONCAL1,553
2192,A42A,Ida,TRONCAL1,-76.49461639,3.42487694,C70D28EK,-76.50070083,3.42675611,TRONCAL1-C70D28EK,2013
2193,A42A,Vuelta,C70D28EK,-76.50070083,3.42675611,C70K28ED,-76.50025222,3.42652972,C70D28EK-C70K28ED,1727
2194,A42A,Vuelta,C70K28ED,-76.50025222,3.42652972,TRONCAL2,-76.49453278,3.42472889,C70K28ED-TRONCAL2,894
2195,A42A,Vuelta,TRONCAL2,-76.49453278,3.42472889,AMANECE2,-76.49077639,3.42143972,TRONCAL2-AMANECE2,554
2196,A42A,Vuelta,AMANECE2,-76.49077639,3.42143972,C76K28A,-76.48615889,3.42035861,AMANECE2-C76K28A,879
2197,A42A,Vuelta,C76K28A,-76.48615889,3.42035861,K27C76,-76.48413889,3.42315917,C76K28A-K27C76,609
2198,A42A,Vuelta,K27C76,-76.48413889,3.42315917,K27C84,-76.48205722,3.42116944,K27C76-K27C84,308
2199,A42A,Vuelta,K27C84,-76.48205722,3.42116944,K27C86,-76.48067972,3.41987389,K27C84-K27C86,329
2200,A42A,Vuelta,K27C86,-76.48067972,3.41987389,K27C9196,-76.47948583,3.41873611,K27C86-K27C9196,183
2201,A42A,Vuelta,K27C9196,-76.47948583,3.41873611,T103D262,-76.47831361,3.42000778,K27C9196-T103D262,322
2202,A42A,Vuelta,T103D262,-76.47831361,3.42000778,T103D264,-76.4777675,3.42287833,T103D262-T103D264,244
2203,A42A,Vuelta,T103D264,-76.4777675,3.42287833,T103C94,-76.4770775,3.426485,T103D264-T103C94,405
2204,A42A,Vuelta,T103C94,-76.4770775,3.426485,T103C84,-76.47750333,3.42956694,T103C94-T103C84,377
2205,A42A,Vuelta,T103C84,-76.47750333,3.42956694,T103C78B,-76.47873083,3.43305861,T103C84-T103C78B,422
