PRODUCTO,VEH_ID,QPAX,CRD_SNR,O_ESTACION,D_ESTACION,O_ID_ESTACION,D_ID_ESTACION,TRONCAL,HORA_MATSIM,1_USO,START,END
UNIVIAJE-II,3002,1,14515,CENTRO,REFUGIO,28,6,YES,56520,0,0,YES
UNIVIAJE-II,3002,1,14516,CENTRO,REFUGIO,28,6,YES,47040,0,YES,0
UNIVIAJE-II,3002,1,14516,CENTRO,CALDAS,28,5,YES,63420,0,0,YES
UNIVIAJE-II,903,1,14524,PLZ TOROS,CHIMINANGOS,8,38,YES,41460,0,YES,0
UNIVIAJE-II,903,1,14524,PLZ TOROS,CENTRO,8,28,YES,54540,0,0,0
UNIVIAJE-II,903,1,14524,PLZ TOROS,FATIMA,8,33,YES,68700,0,0,YES
UNIVIAJE-II,6103,1,14535,TERMINAL MENGA,UND DEPORT,56,40,YES,56400,0,YES,0
UNIVIAJE-II,6103,1,14535,TERMINAL MENGA,FLORA IND,56,37,YES,60000,0,0,0
UNIVIAJE-II,6104,1,14535,TERMINAL MENGA,POPULAR,56,35,YES,65100,0,0,0
UNIVIAJE-II,6103,1,14535,TERMINAL MENGA,REFUGIO,56,6,YES,73260,0,0,YES
UNIVIAJE-II,1805,1,14538,SUCRE,FLORA IND,23,37,YES,23040,0,YES,0
UNIVIAJE-II,1805,1,14538,SUCRE,SUCRE,23,23,YES,57660,0,0,0
UNIVIAJE-II,1805,1,14538,SUCRE,UND DEPORT,23,40,YES,64620,0,0,YES
UNIVIAJE-II,4403,1,14544,VERSALLES,UNIVERSIDA,43,39,YES,33840,0,YES,0
UNIVIAJE-II,4401,1,14544,VERSALLES,LIDO,43,9,YES,59340,0,0,YES
UNIVIAJE-II,504,1,15758,CAPRI,REFUGIO,4,6,YES,37680,0,YES,0
UNIVIAJE-II,504,1,15758,CAPRI,UNIVERSIDA,4,39,YES,41820,0,0,0
UNIVIAJE-II,504,1,15758,CAPRI,REFUGIO,4,6,YES,44460,0,0,0
UNIVIAJE-II,504,1,15758,CAPRI,PAMPALINDA,4,7,YES,53280,0,0,0
UNIVIAJE-II,504,1,15758,CAPRI,REFUGIO,4,6,YES,56280,0,0,0
UNIVIAJE-II,504,1,15758,CAPRI,REFUGIO,4,6,YES,58320,0,0,0
UNIVIAJE-II,504,1,15758,CAPRI,UNIVERSIDA,4,39,YES,66900,0,0,YES
UNIVIAJE-II,1504,1,15779,ST LIBRADA,UNIVERSIDA,13,39,YES,23100,0,YES,0
UNIVIAJE-II,1504,1,15779,ST LIBRADA,CHIMINANGOS,13,38,YES,37080,0,0,0
UNIVIAJE-II,1504,1,15779,ST LIBRADA,CHIMINANGOS,13,38,YES,45180,0,0,0
UNIVIAJE-II,1506,1,15779,ST LIBRADA,CHIMINANGOS,13,38,YES,60480,0,0,0
UNIVIAJE-II,1506,1,15779,ST LIBRADA,REFUGIO,13,6,YES,66120,0,0,0
UNIVIAJE-II,1506,1,15779,ST LIBRADA,UNIVERSIDA,13,39,YES,75300,0,0,YES
UNIVIAJE-II,4403,1,15793,VERSALLES,PAMPALINDA,43,7,YES,43800,0,YES,0
UNIVIAJE-II,4401,1,15793,VERSALLES,PAMPALINDA,43,7,YES,57780,0,0,YES
UNIVIAJE-II,1403,1,15798,MZ. SABER,CHIMINANGOS,12,38,YES,62280,0,YES,0
UNIVIAJE-II,1403,1,15798,MZ. SABER,FLORA IND,12,37,YES,81060,0,0,YES
UNIVIAJE-II,3002,1,15805,CENTRO,CALDAS,28,5,YES,51120,0,YES,0
UNIVIAJE-II,3002,1,15805,CENTRO,CAPRI,28,4,YES,55980,0,0,YES
UNIVIAJE-II,1203,1,15817,TEQUENDAMA,CALDAS,10,5,YES,31020,0,YES,0
UNIVIAJE-II,1202,1,15817,TEQUENDAMA,PAMPALINDA,10,7,YES,54420,0,0,YES
UNIVIAJE-II,2003,1,15824,SAN PEDRO,ST LIBRADA,25,13,YES,62340,0,YES,0
UNIVIAJE-II,2003,1,15824,SAN PEDRO,CHIMINANGOS,25,38,YES,66420,0,0,0
UNIVIAJE-II,2003,1,15824,SAN PEDRO,CHIMINANGOS,25,38,YES,68880,0,0,YES
UNIVIAJE-II,3002,1,15828,CENTRO,CAPRI,28,4,YES,51060,0,YES,0
UNIVIAJE-II,3001,1,15828,CENTRO,CAPRI,28,4,YES,58800,0,0,YES
UNIVIAJE-II,1201,1,15850,TEQUENDAMA,UNIVERSIDA,10,39,YES,34440,0,YES,0
UNIVIAJE-II,1203,1,15850,TEQUENDAMA,UNIVERSIDA,10,39,YES,74580,0,0,YES
UNIVIAJE-II,302,1,15854,BUITRERA,UNIVERSIDA,2,39,YES,31800,0,YES,0
UNIVIAJE-II,302,1,15854,BUITRERA,UNIVERSIDA,2,39,YES,59640,0,0,0
UNIVIAJE-II,302,1,15854,BUITRERA,UNIVERSIDA,2,39,YES,70080,0,0,YES
UNIVIAJE-II,4602,1,15868,VIPASA,UNIVERSIDA,46,39,YES,26040,0,YES,0
UNIVIAJE-II,4601,1,15868,VIPASA,VERSALLES,46,43,YES,56280,0,0,0
UNIVIAJE-II,4602,1,15868,VIPASA,CHIMINANGOS,46,38,YES,63360,0,0,0
UNIVIAJE-II,4601,1,15868,VIPASA,CHIMINANGOS,46,38,YES,72300,0,0,YES
UNIVIAJE-II,1101,1,15877,LIDO,CALDAS,9,5,YES,51120,0,YES,0
UNIVIAJE-II,1103,1,15877,LIDO,CHIMINANGOS,9,38,YES,62340,0,0,YES
UNIVIAJE-II,1101,1,15888,LIDO,CAPRI,9,4,YES,37620,0,YES,0
UNIVIAJE-II,1103,1,15888,LIDO,POPULAR,9,35,YES,49260,0,0,0
UNIVIAJE-II,1101,1,15888,LIDO,PAMPALINDA,9,7,YES,67080,0,0,YES
UNIVIAJE-II,6104,1,15896,TERMINAL MENGA,ESTADIO,56,11,YES,56220,0,YES,0
UNIVIAJE-II,6103,1,15896,TERMINAL MENGA,REFUGIO,56,6,YES,67500,0,0,0
UNIVIAJE-II,6103,1,15896,TERMINAL MENGA,CHIMINANGOS,56,38,YES,68760,0,0,0
UNIVIAJE-II,6103,1,15896,TERMINAL MENGA,PAMPALINDA,56,7,YES,77340,0,0,YES
UNIVIAJE-II,701,1,15897,REFUGIO,PAMPALINDA,6,7,YES,23580,0,YES,0
UNIVIAJE-II,701,1,15897,REFUGIO,SALOMIA,6,36,YES,36300,0,0,0
UNIVIAJE-II,701,1,15897,REFUGIO,PAMPALINDA,6,7,YES,55680,0,0,0
UNIVIAJE-II,701,1,15897,REFUGIO,REFUGIO,6,6,YES,63600,0,0,0
UNIVIAJE-II,701,1,15897,REFUGIO,CALDAS,6,5,YES,67500,0,0,YES
UNIVIAJE-II,2003,1,15898,SAN PEDRO,CHIMINANGOS,25,38,YES,46500,0,YES,0
UNIVIAJE-II,2003,1,15898,SAN PEDRO,UNIVERSIDA,25,39,YES,51780,0,0,0
UNIVIAJE-II,2003,1,15898,SAN PEDRO,PLZ TOROS,25,8,YES,63540,0,0,YES
UNIVIAJE-II,3403,1,15901,FLORA IND,TEQUENDAMA,37,10,YES,25980,0,YES,0
UNIVIAJE-II,3403,1,15901,FLORA IND,LIDO,37,9,YES,33060,0,0,0
UNIVIAJE-II,3403,1,15901,FLORA IND,SALOMIA,37,36,YES,38040,0,0,0
UNIVIAJE-II,3401,1,15901,FLORA IND,FLORA IND,37,37,YES,52320,0,0,0
UNIVIAJE-II,3403,1,15901,FLORA IND,REFUGIO,37,6,YES,59580,0,0,0
UNIVIAJE-II,3403,1,15901,FLORA IND,REFUGIO,37,6,YES,70860,0,0,YES
UNIVIAJE-II,1306,1,15904,ESTADIO,CAPRI,11,4,YES,49500,0,YES,0
UNIVIAJE-II,1304,1,15904,ESTADIO,REFUGIO,11,6,YES,61980,0,0,0
