PRODUCTO,INTEGRACION,VEH_ID,QPAX,CRD_SNR,O_ESTACION,D_ESTACION,O_ID_ESTACION,D_ID_ESTACION,TRONCAL,HORA_MATSIM,1_USO,START,END
UNIVIAJE-II,,1504,1,39099,ST LIBRADA,0,13,0,YES,49440,0,YES,0
UNIVIAJE-II,,1506,1,39099,ST LIBRADA,0,13,0,YES,58260,0,0,0
UNIVIAJE-II,,1506,1,39099,ST LIBRADA,0,13,0,YES,64860,0,0,0
UNIVIAJE-II,,1506,1,39099,ST LIBRADA,0,13,0,YES,76320,0,0,YES
UNIVIAJE-II,,302,1,39100,BUITRERA,0,2,0,YES,37740,0,YES,0
UNIVIAJE-II,,302,1,39100,BUITRERA,0,2,0,YES,56280,0,0,YES
UNIVIAJE-II,,1703,1,39102,SAN PASCUA,0,15,0,YES,27660,0,YES,0
UNIVIAJE-II,,1703,1,39102,SAN PASCUA,0,15,0,YES,44580,0,0,0
UNIVIAJE-II,,1703,1,39102,SAN PASCUA,0,15,0,YES,55860,0,0,0
UNIVIAJE-II,,1703,1,39102,SAN PASCUA,0,15,0,YES,62820,0,0,YES
UNIVIAJE-II,,1904,1,39104,PETECUY,0,24,0,YES,49740,0,YES,0
UNIVIAJE-II,,1906,1,39104,PETECUY,0,24,0,YES,59340,0,0,YES
UNIVIAJE-II,,203,1,39105,UNIVALLE,0,1,0,YES,36000,0,YES,0
UNIVIAJE-II,,203,1,39105,UNIVALLE,0,1,0,YES,45240,0,0,0
UNIVIAJE-II,,203,1,39105,UNIVALLE,0,1,0,YES,55560,0,0,0
UNIVIAJE-II,,203,1,39105,UNIVALLE,0,1,0,YES,63600,0,0,YES
UNIVIAJE-II,,1601,1,39106,SAN BOSCO,0,14,0,YES,22260,0,YES,0
UNIVIAJE-II,,1603,1,39106,SAN BOSCO,0,14,0,YES,34860,0,0,0
UNIVIAJE-II,,1601,1,39106,SAN BOSCO,0,14,0,YES,49980,0,0,0
UNIVIAJE-II,,1601,1,39106,SAN BOSCO,0,14,0,YES,64440,0,0,0
UNIVIAJE-II,,1601,1,39106,SAN BOSCO,0,14,0,YES,79620,0,0,YES
UNIVIAJE-II,,3203,1,39107,ERMITA,0,29,0,YES,47280,0,YES,0
UNIVIAJE-II,,3203,1,39107,ERMITA,0,29,0,YES,48960,0,0,0
UNIVIAJE-II,,3204,1,39107,ERMITA,0,29,0,YES,59640,0,0,0
UNIVIAJE-II,,3204,1,39107,ERMITA,0,29,0,YES,64200,0,0,YES
UNIVIAJE-II,,1302,1,39108,ESTADIO,0,11,0,YES,33900,0,YES,0
UNIVIAJE-II,,1301,1,39108,ESTADIO,0,11,0,YES,38160,0,0,0
UNIVIAJE-II,,1301,1,39108,ESTADIO,0,11,0,YES,73800,0,0,0
UNIVIAJE-II,,1303,1,39108,ESTADIO,0,11,0,YES,79500,0,0,YES
