LinkId,FromNode,ToNode,Length,Vol
PAMPA1-7,PAMPA1,7,19.0,1442
PAMPA2-7,PAMPA2,7,19.0,1734
PILOT2-32,PILOT2,32,19.0,508
PLATOR1-8,PLATOR1,8,19.0,804
PLATOR2-8,PLATOR2,8,19.0,661
POPU1-35,POPU1,35,19.0,1173
POPU4-35,POPU4,35,19.0,688
PRADNOR1-45,PRADNOR1,45,19.0,470
PRADNOR2-45,PRADNOR2,45,19.0,266
PTCUY2-24,PTCUY2,24,19.0,972
PTCUY6-24,PTCUY6,24,19.0,668
REFUG1-6,REFUG1,6,19.0,585
REFUG2-6,REFUG2,6,19.0,624
RIOC1-30,RIOC1,30,19.0,594
SALOM1-36,SALOM1,36,19.0,1176
SALOM2-36,SALOM2,36,19.0,528
SANBO2-14,SANBO2,14,19.0,1756
SANBO3-14,SANBO3,14,19.0,2015
SANIC2-31,SANIC2,31,19.0,529
SANPAS2-15,SANPAS2,15,19.0,2168
SANPED2-25,SANPED2,25,19.0,957
SNTLIB2-13,SNTLIB2,13,19.0,750
SNTLIB3-13,SNTLIB3,13,19.0,1067
SUCRE2-23,SUCRE2,23,19.0,938
TEQUE1-10,TEQUE1,10,19.0,1863
TEQUE4-10,TEQUE4,10,19.0,1823
TMENGA7-56,TMENGA7,56,19.0,132
TORRE2-26,TORRE2,26,19.0,851
TORRE3-26,TORRE3,26,19.0,2342
TORRE4-26,TORRE4,26,19.0,802
UDP3-40,UDP3,40,19.0,1719
UDP4-40,UDP4,40,19.0,1013
UDP6-40,UDP6,40,19.0,724
UNIV4-39,UNIV4,39,19.0,864
UNIVAL1-1,UNIVAL1,1,19.0,104
UNIVAL2-1,UNIVAL2,1,19.0,332
VERSALL1-43,VERSALL1,43,19.0,831
VERSALL2-43,VERSALL2,43,19.0,620
VIPASA1-46,VIPASA1,46,19.0,379
VIPASA2-46,VIPASA2,46,19.0,161
