LinkId,FromNode,ToNode,Length,Vol
56-TMENGA7,56,TMENGA7,19.0,314
6-5,6,5,484.0,745
6-7,6,7,553.0,695
6-REFUG1,6,REFUG1,19.0,745
6-REFUG2,6,REFUG2,19.0,711
7-4,7,4,1724.0,702
7-40,7,40,1292.0,1883
7-5,7,5,1037.0,1075
7-6,7,6,553.0,921
7-8,7,8,661.0,741
7-PAMPA1,7,PAMPA1,19.0,2739
7-PAMPA2,7,PAMPA2,19.0,2624
8-40,8,40,625.0,783
8-7,8,7,660.0,1008
8-PLATOR1,8,PLATOR1,19.0,1008
8-PLATOR2,8,PLATOR2,19.0,783
9-10,9,10,536.0,931
9-40,9,40,448.0,1125
9-LIDO1,9,LIDO1,19.0,1125
9-LIDO4,9,LIDO4,19.0,931
ALAMOS1-47,ALAMOS1,47,19.0,579
ALAMOS2-47,ALAMOS2,47,19.0,-19
BUITRE1-2,BUITRE1,2,19.0,677
BUITRE2-2,BUITRE2,2,19.0,2173
CAICED1-42,CAICED1,42,19.0,1737
CALDAS1-5,CALDAS1,5,19.0,1469
CALDAS2-5,CALDAS2,5,19.0,1554
CAPRI2-4,CAPRI2,4,19.0,2347
CAPRI3-4,CAPRI3,4,19.0,1907
CENTRO1-28,CENTRO1,28,19.0,1446
CHIMI3-38,CHIMI3,38,19.0,517
ERMI1-29,ERMI1,29,19.0,1202
ESTAD2-11,ESTAD2,11,19.0,3211
ESTAD3-11,ESTAD3,11,19.0,3741
FATI1-33,FATI1,33,19.0,483
FATI2-33,FATI2,33,19.0,785
FLORAI1-37,FLORAI1,37,19.0,746
FLORAI2-37,FLORAI2,37,19.0,632
FRAY1-27,FRAY1,27,19.0,1454
L.AMERI1-44,L.AMERI1,44,19.0,1262
L.AMERI2-44,L.AMERI2,44,19.0,667
LIDO1-9,LIDO1,9,19.0,1125
LIDO4-9,LIDO4,9,19.0,931
MANZA2-12,MANZA2,12,19.0,1000
MANZA3-12,MANZA3,12,19.0,1345
MELEN1-3,MELEN1,3,19.0,959
MELEN2-3,MELEN2,3,19.0,2249
MZAN1-34,MZAN1,34,19.0,362
MZAN2-34,MZAN2,34,19.0,729
PAMPA1-7,PAMPA1,7,19.0,2739
PAMPA2-7,PAMPA2,7,19.0,2624
PILOT2-32,PILOT2,32,19.0,842
PLATOR1-8,PLATOR1,8,19.0,1008
PLATOR2-8,PLATOR2,8,19.0,783
POPU1-35,POPU1,35,19.0,1271
POPU4-35,POPU4,35,19.0,1606
PRADNOR1-45,PRADNOR1,45,19.0,850
PRADNOR2-45,PRADNOR2,45,19.0,518
PTCUY2-24,PTCUY2,24,19.0,1255
PTCUY6-24,PTCUY6,24,19.0,983
REFUG1-6,REFUG1,6,19.0,745
REFUG2-6,REFUG2,6,19.0,711
RIOC1-30,RIOC1,30,19.0,508
SALOM1-36,SALOM1,36,19.0,953
SALOM2-36,SALOM2,36,19.0,1209
SANBO2-14,SANBO2,14,19.0,2260
SANBO3-14,SANBO3,14,19.0,3895
SANIC2-31,SANIC2,31,19.0,858
SANPAS2-15,SANPAS2,15,19.0,3366
SANPED2-25,SANPED2,25,19.0,1255
SNTLIB2-13,SNTLIB2,13,19.0,864
SNTLIB3-13,SNTLIB3,13,19.0,1371
SUCRE2-23,SUCRE2,23,19.0,1194
TEQUE1-10,TEQUE1,10,19.0,3605
TEQUE4-10,TEQUE4,10,19.0,3202
TMENGA7-56,TMENGA7,56,19.0,314
TORRE2-26,TORRE2,26,19.0,2019
TORRE3-26,TORRE3,26,19.0,3587
TORRE4-26,TORRE4,26,19.0,1042
UDP3-40,UDP3,40,19.0,3309
UDP4-40,UDP4,40,19.0,1845
UDP6-40,UDP6,40,19.0,995
UNIV4-39,UNIV4,39,19.0,1434
UNIVAL1-1,UNIVAL1,1,19.0,133
UNIVAL2-1,UNIVAL2,1,19.0,482
VERSALL1-43,VERSALL1,43,19.0,1500
VERSALL2-43,VERSALL2,43,19.0,935
VIPASA1-46,VIPASA1,46,19.0,686
VIPASA2-46,VIPASA2,46,19.0,347
